OD matrix,,,,,,,,,,,,
Period: 2019-10-07 00:00:00 to 2019-10-10 00:00:00 ,,,,,,,,,,,,
Granularity: TAZ ,,,,,,,,,,,,
Entries: all routes; all stops,,,,,,,,,,,,
Exits: all routes; all stops,,,,,,,,,,,,
Daily period: 04:00:00 to 03:59:00 ,,,,,,,,,,,,
Days of week: working days,,,,,,,,,,,,
Card titles: all,,,,,,,,,,,,
,,,,,,,,,,,,
itaz,ftaz,volume,average_volume_per_day,volume_of_transfers,number_of_transfers,transfer_distance,transfer_time,travel_time,trust_level,,,
Parque das Nacoes (Parque Tejo),Fora Municipio Lisboa,8,2.0,16,2.00,0.049,24.333,52.904,100,,,
Parque das Nacoes (Parque Tejo),Lumiar (Aeroporto),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Lumiar (Lumiar | Norte),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Lumiar (Lumiar | Oeste),3,0.8,10,3.33,0.305,13.623,53.261,100,,,
Parque das Nacoes (Parque Tejo),Lumiar (Lumiar | Sul),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Lumiar (Paco Lumiar),1,0.3,6,6.00,0.000,34.824,64.524,,,,
Parque das Nacoes (Parque Tejo),Lumiar (Parque Europa),15,3.8,19,1.27,0.095,18.763,36.896,99.91,,,
Parque das Nacoes (Parque Tejo),Lumiar (Telheiras | Este),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Lumiar (Telheiras | Norte),4,1.0,8,2.00,0.000,10.104,42.519,,,,
Parque das Nacoes (Parque Tejo),Lumiar (Telheiras | Oeste),1,0.3,1,1.00,0.086,6.146,21.972,100,,,
Parque das Nacoes (Parque Tejo),Marvila (Bairro Armador),8,2.0,19,2.38,0.366,41.380,67.270,95.65,,,
Parque das Nacoes (Parque Tejo),Marvila (Chelas),4,1.0,4,1.00,0.000,13.477,28.744,100,,,
Parque das Nacoes (Parque Tejo),Marvila (Infante Dom Henrique - Porto | Este),1,0.3,1,1.00,0.123,18.064,28.162,100,,,
Parque das Nacoes (Parque Tejo),Marvila (Infante Dom Henrique - Porto | Oeste),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Marvila (Marechal Gomes da Costa),7,1.8,7,1.00,0.127,10.187,22.579,99,,,
Parque das Nacoes (Parque Tejo),Marvila (Parque Bela Vista),3,0.8,7,2.33,0.148,13.196,22.168,94.61,,,
Parque das Nacoes (Parque Tejo),Misericordia (Bairro Alto),2,0.5,6,3.00,0.000,15.089,58.063,,,,
Parque das Nacoes (Parque Tejo),Misericordia (Sao Paulo),6,1.5,12,2.00,0.067,17.154,36.189,99.47,,,
Parque das Nacoes (Parque Tejo),Olivais (Alfredo Bensaude),4,1.0,2,0.50,0.072,26.966,35.800,100,,,
Parque das Nacoes (Parque Tejo),Olivais (Encarnacao | Este),56,14.0,0,0.00,0.000,0.000,3.749,92.05,,,
Parque das Nacoes (Parque Tejo),Olivais (Encarnacao | Oeste),1,0.3,1,1.00,0.251,18.888,29.821,98,,,
Parque das Nacoes (Parque Tejo),Olivais (Logistica Aeroportuaria),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Olivais (Olivais - Centro),172,43.0,9,0.05,0.000,0.885,8.251,96.85,,,
Parque das Nacoes (Parque Tejo),Olivais (Olivais | Este),1,0.3,3,3.00,0.090,7.910,13.433,94.75,,,
Parque das Nacoes (Parque Tejo),Olivais (Olivais | Norte),1,0.3,1,1.00,0.192,53.078,66.257,100,,,
Parque das Nacoes (Parque Tejo),Olivais (Olivais | Sul),3,0.8,0,0.00,0.000,0.000,6.885,72,,,
Parque das Nacoes (Parque Tejo),Olivais (Relogio),7,1.8,2,0.29,0.011,2.121,13.586,96.18,,,
Parque das Nacoes (Parque Tejo),Parque das Nacoes (Estacao Oriente),533,133.3,2,0.00,0.000,4.637,5.413,99.78,,,
Parque das Nacoes (Parque Tejo),Parque das Nacoes (Parque Nacoes | Norte),95,23.8,11,0.12,0.021,4.574,7.635,86.13,,,
Parque das Nacoes (Parque Tejo),Parque das Nacoes (Parque Nacoes | Sul),5,1.3,6,1.20,0.080,4.932,11.552,93.36,,,
Parque das Nacoes (Parque Tejo),Parque das Nacoes (Parque Tejo),26,6.5,27,1.04,0.042,14.848,19.586,91.2,,,
Parque das Nacoes (Parque Tejo),Parque das Nacoes (Quinta Laranjeiras),9,2.3,6,0.67,0.024,6.514,10.772,92.07,,,
Parque das Nacoes (Parque Tejo),Penha de Franca (Penha Franca),9,2.3,11,1.22,0.022,14.215,31.493,100,,,
Parque das Nacoes (Parque Tejo),Penha de Franca (Sao Joao),7,1.8,11,1.57,0.203,28.995,58.800,97.25,,,
Parque das Nacoes (Parque Tejo),Santa Clara (Ameixoeira | Norte),5,1.3,14,2.80,0.163,26.580,54.590,100,,,
Parque das Nacoes (Parque Tejo),Santa Clara (Ameixoeira | Sul),5,1.3,9,1.80,0.277,29.057,60.024,96.6,,,
Parque das Nacoes (Parque Tejo),Santa Maria Maior (Baixa),17,4.3,30,1.76,0.065,16.870,40.568,96.13,,,
Parque das Nacoes (Parque Tejo),Santa Maria Maior (Castelo),93,23.3,6,0.06,0.000,1.743,34.642,84.42,,,
Parque das Nacoes (Parque Tejo),Santo Antonio (Amoreiras),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Santo Antonio (Sao Jose),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Santo Antonio (Sao Mamede),3,0.8,7,2.33,0.099,27.961,61.946,100,,,
Parque das Nacoes (Parque Tejo),Sao Domingos de Benfica (Estrada Luz | Este),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Sao Domingos de Benfica (Estrada Luz | Oeste),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Sao Domingos de Benfica (Sao Domingos de Benfica),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Sao Domingos de Benfica (Sete Rios | Norte),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Sao Domingos de Benfica (Sete Rios | Sul),,,,,,,,,,,
Parque das Nacoes (Parque Tejo),Sao Vicente de Fora (Sao Vicente),15,3.8,10,0.67,0.084,25.576,55.917,96.14,,,
Parque das Nacoes (Quinta Laranjeiras),Ajuda (Ajuda | Norte),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Ajuda (Ajuda | Oeste),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Ajuda (Ajuda | Sul),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Ajuda (Restelo),25,6.3,2,0.08,0.000,1.732,33.703,100,,,
Parque das Nacoes (Quinta Laranjeiras),Alcantara (Santo Amaro | Norte),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Alcantara (Santo Amaro | Oeste),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Alcantara (Santo Amaro | Sul),21,5.3,2,0.10,0.000,3.455,32.089,95.13,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Alvalade),82,20.5,1,0.01,0.000,0.354,11.531,88.82,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Avenida do Brasil),75,18.8,9,0.12,0.000,21.022,11.375,89.58,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Campo Grande),56,14.0,6,0.11,0.000,0.677,8.059,97.45,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Cidade Universitaria),9,2.3,0,0.00,0.000,0.000,9.365,81.93,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Hospital Santa Maria | Este),58,14.5,0,0.00,0.000,0.000,9.487,97.26,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Hospital Santa Maria | Oeste),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Roma - Areeiro | Este),7,1.8,5,0.71,0.084,6.467,17.207,91.64,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Roma - Areeiro | Oeste),1,0.3,1,1.00,0.038,18.076,55.904,80.5,,,
Parque das Nacoes (Quinta Laranjeiras),Alvalade (Sao Joao de Brito),58,14.5,11,0.19,0.030,2.118,15.758,97.08,,,
Parque das Nacoes (Quinta Laranjeiras),Areeiro (Alto Pina),4,1.0,5,1.25,0.011,16.950,34.738,100,,,
Parque das Nacoes (Quinta Laranjeiras),Areeiro (Areeiro | Norte),32,8.0,9,0.28,0.029,3.382,21.074,95.16,,,
Parque das Nacoes (Quinta Laranjeiras),Areeiro (Areeiro | Sul),1,0.3,3,3.00,0.680,67.926,89.254,67.25,,,
Parque das Nacoes (Quinta Laranjeiras),Arroios (Anjos),5,1.3,9,1.80,0.128,27.559,46.782,97.48,,,
Parque das Nacoes (Quinta Laranjeiras),Arroios (Arroios | Norte),10,2.5,8,0.80,0.461,31.024,60.116,89.21,,,
Parque das Nacoes (Quinta Laranjeiras),Arroios (Arroios | Sul),5,1.3,14,2.80,0.383,20.352,40.554,83.32,,,
Parque das Nacoes (Quinta Laranjeiras),Arroios (Estefania),3,0.8,5,1.67,0.253,34.945,56.157,56,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Avenidas Novas | Este),11,2.8,2,0.18,0.000,4.206,28.839,92.75,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Avenidas Novas | Oeste),5,1.3,5,1.00,0.244,19.820,46.358,95.2,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Bairro Santos | Este),59,14.8,1,0.02,0.000,0.654,12.673,88.04,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Bairro Santos | Oeste),5,1.3,0,0.00,0.000,0.000,19.736,87.4,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Campo Pequeno | Este),50,12.5,11,0.22,0.000,1.487,15.169,99.48,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Campo Pequeno | Oeste),1,0.3,4,4.00,0.000,58.121,90.045,,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Parque Eduardo VII),107,26.8,16,0.15,0.015,32.153,21.038,94.81,,,
Parque das Nacoes (Quinta Laranjeiras),Avenidas Novas (Picoas),54,13.5,3,0.06,0.000,0.149,17.067,96.66,,,
Parque das Nacoes (Quinta Laranjeiras),Beato (Madre Deus | Norte),3,0.8,0,0.00,0.000,0.000,10.924,100,,,
Parque das Nacoes (Quinta Laranjeiras),Beato (Madre Deus | Oeste),20,5.0,1,0.05,0.013,1.275,21.208,96.08,,,
Parque das Nacoes (Quinta Laranjeiras),Beato (Madre Deus | Sul),19,4.8,8,0.42,0.013,5.199,17.275,96.69,,,
Parque das Nacoes (Quinta Laranjeiras),Beato (Picheleira),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Belem (Alto Duque),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Belem (Belem | Este),3,0.8,0,0.00,0.000,0.000,36.538,100,,,
Parque das Nacoes (Quinta Laranjeiras),Belem (Belem | Oeste),27,6.8,4,0.15,0.008,1.829,30.329,95.56,,,
Parque das Nacoes (Quinta Laranjeiras),Belem (Ribeirinha - Belem),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Benfica (Benfica | Norte),3,0.8,2,0.67,0.018,21.517,50.747,96,,,
Parque das Nacoes (Quinta Laranjeiras),Benfica (Benfica | Sul),3,0.8,4,1.33,0.166,32.919,58.532,100,,,
Parque das Nacoes (Quinta Laranjeiras),Benfica (Colegio Militar/Luz),7,1.8,8,1.14,0.056,15.129,29.596,97.67,,,
Parque das Nacoes (Quinta Laranjeiras),Benfica (Monsanto | Norte),1,0.3,1,1.00,0.197,20.961,57.750,100,,,
Parque das Nacoes (Quinta Laranjeiras),Campo de Ourique (Amoreiras),4,1.0,8,2.00,0.000,411.791,33.432,100,,,
Parque das Nacoes (Quinta Laranjeiras),Campo de Ourique (Campo Ourique),8,2.0,7,0.88,0.099,17.408,41.698,97.17,,,
Parque das Nacoes (Quinta Laranjeiras),Campolide (Bairro Liberdade),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Campolide (Campolide),6,1.5,5,0.83,0.023,7.990,25.661,100,,,
Parque das Nacoes (Quinta Laranjeiras),Campolide (Praca Espanha | Norte),10,2.5,3,0.30,0.000,3.110,25.097,99.7,,,
Parque das Nacoes (Quinta Laranjeiras),Campolide (Praca Espanha | Sul),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Carnide (Avenidas Novas),3,0.8,3,1.00,0.031,15.073,33.247,81.5,,,
Parque das Nacoes (Quinta Laranjeiras),Carnide (Carnide),2,0.5,4,2.00,0.178,15.183,33.125,100,,,
Parque das Nacoes (Quinta Laranjeiras),Estrela (Alcantara),8,2.0,3,0.38,0.000,4.716,34.099,84.2,,,
Parque das Nacoes (Quinta Laranjeiras),Estrela (Estrela),13,3.3,13,1.00,0.000,7.364,41.120,84.32,,,
Parque das Nacoes (Quinta Laranjeiras),Estrela (Lapa),1,0.3,1,1.00,0.000,16.737,38.666,100,,,
Parque das Nacoes (Quinta Laranjeiras),Estrela (Ribeirinha - Belem),2,0.5,0,0.00,0.000,0.000,27.416,100,,,
Parque das Nacoes (Quinta Laranjeiras),Fora Municipio Lisboa,428,107.0,46,0.11,0.011,10.484,8.626,96.24,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Aeroporto),128,32.0,3,0.02,0.000,0.178,7.167,94.05,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Lumiar | Norte),3,0.8,4,1.33,0.080,23.042,49.182,89.5,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Lumiar | Oeste),1,0.3,1,1.00,0.000,10.528,26.438,100,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Lumiar | Sul),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Paco Lumiar),1,0.3,1,1.00,0.075,9.547,21.139,96,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Parque Europa),19,4.8,16,0.84,0.128,20.901,33.505,96.38,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Telheiras | Este),2,0.5,4,2.00,0.138,39.637,55.850,100,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Telheiras | Norte),3,0.8,4,1.33,0.320,55.581,78.666,100,,,
Parque das Nacoes (Quinta Laranjeiras),Lumiar (Telheiras | Oeste),7,1.8,7,1.00,0.563,25.105,43.380,89.03,,,
Parque das Nacoes (Quinta Laranjeiras),Marvila (Bairro Armador),7,1.8,9,1.29,0.176,31.306,46.913,94.06,,,
Parque das Nacoes (Quinta Laranjeiras),Marvila (Chelas),68,17.0,7,0.10,0.010,2.280,13.997,87.87,,,
Parque das Nacoes (Quinta Laranjeiras),Marvila (Infante Dom Henrique - Porto | Este),35,8.8,6,0.17,0.000,1.964,19.463,99.26,,,
Parque das Nacoes (Quinta Laranjeiras),Marvila (Infante Dom Henrique - Porto | Oeste),2,0.5,1,0.50,0.000,11.134,26.786,100,,,
Parque das Nacoes (Quinta Laranjeiras),Marvila (Marechal Gomes da Costa),76,19.0,14,0.18,0.020,4.442,14.863,99.3,,,
Parque das Nacoes (Quinta Laranjeiras),Marvila (Parque Bela Vista),16,4.0,12,0.75,0.095,16.741,29.206,97.35,,,
Parque das Nacoes (Quinta Laranjeiras),Misericordia (Bairro Alto),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Misericordia (Sao Paulo),79,19.8,0,0.00,0.000,0.000,14.599,98.89,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Alfredo Bensaude),360,90.0,51,0.14,0.007,1.608,3.760,88.94,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Encarnacao | Este),98,24.5,14,0.14,0.035,4.936,9.397,85.82,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Encarnacao | Oeste),95,23.8,11,0.12,0.010,2.020,7.049,92.43,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Logistica Aeroportuaria),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Olivais - Centro),265,66.3,71,0.27,0.127,6.183,13.660,89.5,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Olivais | Este),1,0.3,1,1.00,0.013,0.611,9.796,83.75,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Olivais | Norte),7,1.8,11,1.57,0.090,7.883,14.534,75.86,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Olivais | Sul),4,1.0,4,1.00,0.515,41.713,55.336,89.88,,,
Parque das Nacoes (Quinta Laranjeiras),Olivais (Relogio),179,44.8,8,0.04,0.007,0.621,4.582,95.38,,,
Parque das Nacoes (Quinta Laranjeiras),Parque das Nacoes (Estacao Oriente),375,93.8,18,0.05,0.008,0.911,4.125,98.36,,,
Parque das Nacoes (Quinta Laranjeiras),Parque das Nacoes (Parque Nacoes | Norte),137,34.3,24,0.18,0.036,2.378,3.786,89.76,,,
Parque das Nacoes (Quinta Laranjeiras),Parque das Nacoes (Parque Nacoes | Sul),53,13.3,29,0.55,0.076,5.517,15.750,97.88,,,
Parque das Nacoes (Quinta Laranjeiras),Parque das Nacoes (Parque Tejo),7,1.8,4,0.57,0.014,5.473,8.626,87.83,,,
Parque das Nacoes (Quinta Laranjeiras),Parque das Nacoes (Quinta Laranjeiras),252,63.0,126,0.50,0.035,7.296,10.049,91.02,,,
Parque das Nacoes (Quinta Laranjeiras),Penha de Franca (Penha Franca),2,0.5,5,2.50,0.000,8.799,26.561,100,,,
Parque das Nacoes (Quinta Laranjeiras),Penha de Franca (Sao Joao),6,1.5,2,0.33,0.022,5.785,19.655,100,,,
Parque das Nacoes (Quinta Laranjeiras),Santa Clara (Ameixoeira | Norte),1,0.3,3,3.00,0.069,31.893,52.399,100,,,
Parque das Nacoes (Quinta Laranjeiras),Santa Clara (Ameixoeira | Sul),1,0.3,5,5.00,0.101,39.393,71.471,100,,,
Parque das Nacoes (Quinta Laranjeiras),Santa Maria Maior (Baixa),65,16.3,13,0.20,0.000,1.776,18.408,92.97,,,
Parque das Nacoes (Quinta Laranjeiras),Santa Maria Maior (Castelo),16,4.0,6,0.38,0.195,7.177,27.598,94.5,,,
Parque das Nacoes (Quinta Laranjeiras),Santo Antonio (Amoreiras),2,0.5,2,1.00,0.015,23.947,42.058,100,,,
Parque das Nacoes (Quinta Laranjeiras),Santo Antonio (Sao Jose),4,1.0,9,2.25,0.046,17.558,37.077,96,,,
Parque das Nacoes (Quinta Laranjeiras),Santo Antonio (Sao Mamede),1,0.3,1,1.00,0.000,19.296,50.494,95.5,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Domingos de Benfica (Estrada Luz | Este),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Domingos de Benfica (Estrada Luz | Oeste),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Domingos de Benfica (Sao Domingos de Benfica),1,0.3,3,3.00,0.093,15.859,38.038,100,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Domingos de Benfica (Sete Rios | Norte),17,4.3,4,0.24,0.026,11.790,33.711,99.31,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Domingos de Benfica (Sete Rios | Sul),,,,,,,,,,,
Parque das Nacoes (Quinta Laranjeiras),Sao Vicente de Fora (Sao Vicente),37,9.3,8,0.22,0.019,4.371,23.949,97.93,,,
Penha de Franca (Penha Franca),Ajuda (Ajuda | Norte),12,3.0,10,0.83,0.000,9.772,35.776,99.36,,,
Penha de Franca (Penha Franca),Ajuda (Ajuda | Oeste),,,,,,,,,,,
Penha de Franca (Penha Franca),Ajuda (Ajuda | Sul),20,5.0,42,2.10,0.114,31.532,57.220,99.05,,,
Penha de Franca (Penha Franca),Ajuda (Restelo),6,1.5,4,0.67,0.000,22.407,52.405,94.1,,,
Penha de Franca (Penha Franca),Alcantara (Santo Amaro | Norte),,,,,,,,,,,
Penha de Franca (Penha Franca),Alcantara (Santo Amaro | Oeste),4,1.0,3,0.75,0.011,23.613,40.343,100,,,
Penha de Franca (Penha Franca),Alcantara (Santo Amaro | Sul),32,8.0,41,1.28,0.056,19.570,36.740,96.45,,,
Penha de Franca (Penha Franca),Alvalade (Alvalade),151,37.8,15,0.10,0.000,1.692,8.062,89.78,,,
Penha de Franca (Penha Franca),Alvalade (Avenida do Brasil),33,8.3,23,0.70,0.138,12.886,20.031,98.2,,,
Penha de Franca (Penha Franca),Alvalade (Campo Grande),23,5.8,8,0.35,0.013,6.771,18.441,96.53,,,
Penha de Franca (Penha Franca),Alvalade (Cidade Universitaria),29,7.3,1,0.03,0.000,0.113,8.221,84.3,,,
Penha de Franca (Penha Franca),Alvalade (Hospital Santa Maria | Este),152,38.0,13,0.09,0.000,1.190,8.316,99.01,,,
Penha de Franca (Penha Franca),Alvalade (Hospital Santa Maria | Oeste),1,0.3,3,3.00,0.000,9.344,37.270,,,,
Penha de Franca (Penha Franca),Alvalade (Roma - Areeiro | Este),24,6.0,1,0.04,0.000,0.309,6.843,91.45,,,
Penha de Franca (Penha Franca),Alvalade (Roma - Areeiro | Oeste),1,0.3,3,3.00,0.155,14.892,47.330,100,,,
Penha de Franca (Penha Franca),Alvalade (Sao Joao de Brito),6,1.5,12,2.00,0.187,16.854,25.863,87.89,,,
Penha de Franca (Penha Franca),Areeiro (Alto Pina),191,47.8,36,0.19,0.008,3.744,6.644,96.74,,,
Penha de Franca (Penha Franca),Areeiro (Areeiro | Norte),267,66.8,41,0.15,0.007,1.835,4.631,94.24,,,
Penha de Franca (Penha Franca),Areeiro (Areeiro | Sul),2,0.5,3,1.50,0.075,461.713,20.465,70.88,,,
Penha de Franca (Penha Franca),Arroios (Anjos),321,80.3,112,0.35,0.024,8.740,10.634,86.51,,,
Penha de Franca (Penha Franca),Arroios (Arroios | Norte),160,40.0,35,0.22,0.025,5.255,8.425,89.93,,,
Penha de Franca (Penha Franca),Arroios (Arroios | Sul),220,55.0,38,0.17,0.021,4.432,9.940,93.47,,,
Penha de Franca (Penha Franca),Arroios (Estefania),99,24.8,11,0.11,0.000,22.303,18.566,86.41,,,
Penha de Franca (Penha Franca),Avenidas Novas (Avenidas Novas | Este),98,24.5,21,0.21,0.013,4.339,10.259,89.49,,,
Penha de Franca (Penha Franca),Avenidas Novas (Avenidas Novas | Oeste),13,3.3,14,1.08,0.050,19.104,26.865,98.75,,,
Penha de Franca (Penha Franca),Avenidas Novas (Bairro Santos | Este),5,1.3,9,1.80,0.000,37.142,50.008,97.5,,,
Penha de Franca (Penha Franca),Avenidas Novas (Bairro Santos | Oeste),1,0.3,2,2.00,0.000,14.393,34.682,,,,
Penha de Franca (Penha Franca),Avenidas Novas (Campo Pequeno | Este),10,2.5,14,1.40,0.060,25.043,37.990,97.48,,,
Penha de Franca (Penha Franca),Avenidas Novas (Campo Pequeno | Oeste),44,11.0,11,0.25,0.000,3.090,7.835,89.74,,,
Penha de Franca (Penha Franca),Avenidas Novas (Parque Eduardo VII),5,1.3,6,1.20,0.025,24.198,42.347,99.17,,,
Penha de Franca (Penha Franca),Avenidas Novas (Picoas),1,0.3,1,1.00,0.000,37.965,49.740,100,,,
Penha de Franca (Penha Franca),Beato (Madre Deus | Norte),4,1.0,0,0.00,0.000,0.000,10.488,89.5,,,
Penha de Franca (Penha Franca),Beato (Madre Deus | Oeste),123,30.8,18,0.15,0.011,3.964,16.765,96.4,,,
Penha de Franca (Penha Franca),Beato (Madre Deus | Sul),89,22.3,22,0.25,0.024,4.723,15.956,96.61,,,
Penha de Franca (Penha Franca),Beato (Picheleira),154,38.5,15,0.10,0.008,2.039,5.396,95.21,,,
Penha de Franca (Penha Franca),Belem (Alto Duque),1,0.3,1,1.00,0.000,1.506,40.681,100,,,
Penha de Franca (Penha Franca),Belem (Belem | Este),6,1.5,19,3.17,0.148,19.994,46.963,95.79,,,
Penha de Franca (Penha Franca),Belem (Belem | Oeste),56,14.0,58,1.04,0.053,23.862,46.560,99.39,,,
Penha de Franca (Penha Franca),Belem (Ribeirinha - Belem),,,,,,,,,,,
Penha de Franca (Penha Franca),Benfica (Benfica | Norte),2,0.5,2,1.00,0.009,15.787,51.254,100,,,
Penha de Franca (Penha Franca),Benfica (Benfica | Sul),15,3.8,31,2.07,0.159,35.141,68.635,99.3,,,
Penha de Franca (Penha Franca),Benfica (Colegio Militar/Luz),5,1.3,23,4.60,0.000,26.008,58.138,98.12,,,
Penha de Franca (Penha Franca),Benfica (Monsanto | Norte),4,1.0,5,1.25,0.143,16.299,29.902,99.25,,,
Penha de Franca (Penha Franca),Campo de Ourique (Amoreiras),11,2.8,18,1.64,0.259,28.715,52.881,93.06,,,
Penha de Franca (Penha Franca),Campo de Ourique (Campo Ourique),10,2.5,10,1.00,0.082,27.573,49.820,89.79,,,
Penha de Franca (Penha Franca),Campolide (Bairro Liberdade),,,,,,,,,,,
Penha de Franca (Penha Franca),Campolide (Campolide),21,5.3,39,1.86,0.039,103.869,45.144,97.84,,,
Penha de Franca (Penha Franca),Campolide (Praca Espanha | Norte),1,0.3,3,3.00,0.390,41.737,52.773,91.67,,,
Penha de Franca (Penha Franca),Campolide (Praca Espanha | Sul),3,0.8,6,2.00,0.052,14.942,26.184,100,,,
Penha de Franca (Penha Franca),Carnide (Avenidas Novas),25,6.3,15,0.60,0.000,5.574,27.400,99.18,,,
Penha de Franca (Penha Franca),Carnide (Carnide),38,9.5,27,0.71,0.011,8.597,27.734,95.84,,,
Penha de Franca (Penha Franca),Estrela (Alcantara),22,5.5,22,1.00,0.134,36.536,57.337,98.24,,,
Penha de Franca (Penha Franca),Estrela (Estrela),12,3.0,36,3.00,0.068,25.457,38.283,98.03,,,
Penha de Franca (Penha Franca),Estrela (Lapa),6,1.5,8,1.33,0.053,28.876,44.234,100,,,
Penha de Franca (Penha Franca),Estrela (Ribeirinha - Belem),6,1.5,5,0.83,0.065,24.738,38.183,100,,,
Penha de Franca (Penha Franca),Fora Municipio Lisboa,97,24.3,116,1.20,0.060,16.399,43.195,98.57,,,
Penha de Franca (Penha Franca),Lumiar (Aeroporto),1,0.3,4,4.00,0.250,21.004,35.845,99.5,,,
Penha de Franca (Penha Franca),Lumiar (Lumiar | Norte),4,1.0,7,1.75,0.104,25.711,44.425,99,,,
Penha de Franca (Penha Franca),Lumiar (Lumiar | Oeste),10,2.5,19,1.90,0.090,22.744,42.294,96.92,,,
Penha de Franca (Penha Franca),Lumiar (Lumiar | Sul),,,,,,,,,,,
Penha de Franca (Penha Franca),Lumiar (Paco Lumiar),4,1.0,4,1.00,0.067,23.562,41.926,100,,,
Penha de Franca (Penha Franca),Lumiar (Parque Europa),9,2.3,27,3.00,0.027,17.046,29.568,100,,,
Penha de Franca (Penha Franca),Lumiar (Telheiras | Este),4,1.0,12,3.00,0.036,19.450,41.578,100,,,
Penha de Franca (Penha Franca),Lumiar (Telheiras | Norte),4,1.0,10,2.50,0.000,19.216,44.748,,,,
Penha de Franca (Penha Franca),Lumiar (Telheiras | Oeste),2,0.5,4,2.00,0.008,18.343,35.148,100,,,
Penha de Franca (Penha Franca),Marvila (Bairro Armador),25,6.3,21,0.84,0.156,14.077,22.049,98.37,,,
Penha de Franca (Penha Franca),Marvila (Chelas),48,12.0,73,1.52,0.086,21.528,39.069,95.95,,,
Penha de Franca (Penha Franca),Marvila (Infante Dom Henrique - Porto | Este),43,10.8,15,0.35,0.020,4.045,11.804,98.46,,,
